date,code,name,price,pct_chg,shuangshou,liangbi,zhenfu,amount,liutonggu,liutongshizhi,shiyinglv
2022-07-23,688375,N国博,95.99,25.11,69.83,--,11.13,20.47亿,3042.81万,29.21亿,95.69
2022-07-23,688234,天岳先进,81.00,13.50,22.20,3.78,8.79,6.20亿,3550.79万,28.76亿,亏损
2022-07-23,301049,超越科技,30.19,5.03,17.17,2.88,16.65,1.19亿,2356.33万,7.11亿,84.20
2022-07-23,300554,三超新材,21.08,3.51,19.17,3.59,15.25,2.51亿,6533.41万,13.77亿,亏损
2022-07-23,688659,元琛科技,10.74,1.23,10.47,10.42,15.35,9444.87万,8591.60万,9.23亿,88.85
2022-07-23,300356,*ST光一,2.62,0.27,5.66,2.18,11.06,5588.81万,3.91亿,10.26亿,亏损
2022-07-23,301216,万凯新材,35.68,3.44,20.14,2.03,11.66,4.98亿,7149.87万,25.51亿,10.60
2022-07-23,688322,奥比中光-UW,36.74,3.44,25.85,1.75,12.55,2.87亿,3094.37万,11.37亿,亏损
2022-07-23,301004,嘉益股份,29.76,2.76,15.52,1.39,11.78,1.12亿,2500.00万,7.44亿,22.54
2022-07-23,002506,协鑫集成,4.14,0.38,2.98,1.30,9.57,7.10亿,58.50亿,242.17亿,277.86
2022-07-23,000631,顺发恒业,6.00,0.55,6.54,1.13,15.41,9.04亿,24.33亿,145.95亿,87.59
2022-07-23,000678,襄阳轴承,6.01,0.55,7.14,1.85,11.17,1.92亿,4.60亿,27.62亿,亏损
2022-07-23,600509,天富能源,5.69,0.52,5.95,7.38,9.28,3.83亿,11.51亿,65.52亿,亏损
2022-07-23,000601,韶能股份,6.79,0.62,12.97,1.42,11.02,9.38亿,10.80亿,73.32亿,57.55
2022-07-23,603335,迪生力,6.90,0.63,2.84,0.73,8.45,8317.58万,4.28亿,29.54亿,60.44
2022-07-23,002204,大连重工,9.53,0.87,20.91,1.20,17.21,35.12亿,19.31亿,184.06亿,65.86
2022-07-23,603679,华体科技,12.49,1.14,4.85,2.20,9.60,8404.57万,1.42亿,17.68亿,亏损
2022-07-23,002310,东方园林,2.63,0.24,2.94,2.02,10.04,1.95亿,25.62亿,67.37亿,亏损
2022-07-23,000885,城发环境,11.07,1.01,2.55,0.97,7.65,1.79亿,6.42亿,71.08亿,7.92
2022-07-23,002168,惠程科技,6.14,0.56,10.25,1.44,5.91,4.89亿,7.94亿,48.74亿,亏损
