股票代码,股票名称,市场,分类,类型
301175,N中科环,A股,沪深A股,股票
301091,深城交,A股,沪深A股,股票
300882,万胜智能,A股,沪深A股,股票
688607,康众医疗,A股,沪深A股,股票
300633,开立医疗,A股,沪深A股,股票
688238,和元生物,A股,沪深A股,股票
688218,江苏北人,A股,沪深A股,股票
300572,安车检测,A股,沪深A股,股票
300007,汉威科技,A股,沪深A股,股票
688189,南新制药,A股,沪深A股,股票
300513,恒实科技,A股,沪深A股,股票
300978,东箭科技,A股,沪深A股,股票
300031,宝通科技,A股,沪深A股,股票
600166,福田汽车,A股,沪深A股,股票
002526,山东矿机,A股,沪深A股,股票
002031,巨轮智能,A股,沪深A股,股票
000953,河化股份,A股,沪深A股,股票
002272,川润股份,A股,沪深A股,股票
603003,龙宇燃油,A股,沪深A股,股票
603015,弘讯科技,A股,沪深A股,股票
603388,元成股份,A股,沪深A股,股票
002527,新时达,A股,沪深A股,股票
002868,绿康生化,A股,沪深A股,股票
002066,瑞泰科技,A股,沪深A股,股票
603009,北特科技,A股,沪深A股,股票
000722,湖南发展,A股,沪深A股,股票
002045,国光电器,A股,沪深A股,股票
002514,宝馨科技,A股,沪深A股,股票
000550,江铃汽车,A股,沪深A股,股票
603988,中电电机,A股,沪深A股,股票
002967,广电计量,A股,沪深A股,股票
605050,福然德,A股,沪深A股,股票
000899,赣能股份,A股,沪深A股,股票
605298,必得科技,A股,沪深A股,股票
603895,天永智能,A股,沪深A股,股票
603329,上海雅仕,A股,沪深A股,股票
605365,立达信,A股,沪深A股,股票
603917,合力科技,A股,沪深A股,股票
002992,宝明科技,A股,沪深A股,股票
001309,德明利,A股,沪深A股,股票
002876,三利谱,A股,沪深A股,股票
605258,协和电子,A股,沪深A股,股票
603758,秦安股份,A股,沪深A股,股票
600797,浙大网新,A股,沪深A股,股票
003043,华亚智能,A股,沪深A股,股票
002888,惠威科技,A股,沪深A股,股票
002435,长江健康,A股,沪深A股,股票
002333,罗普斯金,A股,沪深A股,股票
002216,三全食品,A股,沪深A股,股票
002047,宝鹰股份,A股,沪深A股,股票
000600,建投能源,A股,沪深A股,股票
003021,兆威机电,A股,沪深A股,股票
002813,路畅科技,A股,沪深A股,股票
603076,乐惠国际,A股,沪深A股,股票
600478,科力远,A股,沪深A股,股票
002530,金财互联,A股,沪深A股,股票
600192,长城电工,A股,沪深A股,股票
002869,金溢科技,A股,沪深A股,股票
002606,大连电瓷,A股,沪深A股,股票
002589,瑞康医药,A股,沪深A股,股票
000539,粤电力Ａ,A股,沪深A股,股票
600520,文一科技,A股,沪深A股,股票
002547,春兴精工,A股,沪深A股,股票
000533,顺钠股份,A股,沪深A股,股票
002077,大港股份,A股,沪深A股,股票
603656,泰禾智能,A股,沪深A股,股票
002090,金智科技,A股,沪深A股,股票
002523,天桥起重,A股,沪深A股,股票
002012,凯恩股份,A股,沪深A股,股票
000404,长虹华意,A股,沪深A股,股票
002501,利源精制,A股,沪深A股,股票
002083,孚日股份,A股,沪深A股,股票
002339,积成电子,A股,沪深A股,股票
002766,索菱股份,A股,沪深A股,股票
002204,大连重工,A股,沪深A股,股票
000676,智度股份,A股,沪深A股,股票
000755,山西路桥,A股,沪深A股,股票
002421,达实智能,A股,沪深A股,股票
301122,采纳股份,A股,沪深A股,股票
688135,利扬芯片,A股,沪深A股,股票
300787,海能实业,A股,沪深A股,股票
300807,天迈科技,A股,沪深A股,股票
002851,麦格米特,A股,沪深A股,股票
688288,鸿泉物联,A股,沪深A股,股票
002965,祥鑫科技,A股,沪深A股,股票
688711,宏微科技,A股,沪深A股,股票
300571,平治信息,A股,沪深A股,股票
688270,臻镭科技,A股,沪深A股,股票
301179,泽宇智能,A股,沪深A股,股票
300836,佰奥智能,A股,沪深A股,股票
605369,拱东医疗,A股,沪深A股,股票
605319,无锡振华,A股,沪深A股,股票
002993,奥海科技,A股,沪深A股,股票
688187,时代电气,A股,沪深A股,股票
300086,康芝药业,A股,沪深A股,股票
301268,铭利达,A股,沪深A股,股票
001201,东瑞股份,A股,沪深A股,股票
688234,天岳先进,A股,沪深A股,股票
300765,新诺威,A股,沪深A股,股票
603355,莱克电气,A股,沪深A股,股票
002430,杭氧股份,A股,沪深A股,股票
002866,传艺科技,A股,沪深A股,股票
605111,新洁能,A股,沪深A股,股票
688262,国芯科技,A股,沪深A股,股票
300866,安克创新,A股,沪深A股,股票
605108,同庆楼,A股,沪深A股,股票
301101,明月镜片,A股,沪深A股,股票
688488,艾迪药业,A股,沪深A股,股票
002475,立讯精密,A股,沪深A股,股票
688090,瑞松科技,A股,沪深A股,股票
300830,金现代,A股,沪深A股,股票
300411,金盾股份,A股,沪深A股,股票
301108,洁雅股份,A股,沪深A股,股票
300098,高新兴,A股,沪深A股,股票
000423,东阿阿胶,A股,沪深A股,股票
300256,*ST星星,A股,沪深A股,股票
300842,帝科股份,A股,沪深A股,股票
603229,奥翔药业,A股,沪深A股,股票
600060,海信视像,A股,沪深A股,股票
002325,洪涛股份,A股,沪深A股,股票
688681,科汇股份,A股,沪深A股,股票
000659,珠海中富,A股,沪深A股,股票
600422,昆药集团,A股,沪深A股,股票
603060,国检集团,A股,沪深A股,股票
600169,太原重工,A股,沪深A股,股票
301062,上海艾录,A股,沪深A股,股票
300279,和晶科技,A股,沪深A股,股票
688789,宏华数科,A股,沪深A股,股票
603357,设计总院,A股,沪深A股,股票
301080,百普赛斯,A股,沪深A股,股票
002997,瑞鹄模具,A股,沪深A股,股票
600916,中国黄金,A股,沪深A股,股票
300357,我武生物,A股,沪深A股,股票
600731,湖南海利,A股,沪深A股,股票
600702,舍得酒业,A股,沪深A股,股票
000810,创维数字,A股,沪深A股,股票
300709,精研科技,A股,沪深A股,股票
300752,隆利科技,A股,沪深A股,股票
600196,复星医药,A股,沪深A股,股票
301166,优宁维,A股,沪深A股,股票
300382,斯莱克,A股,沪深A股,股票
603389,亚振家居,A股,沪深A股,股票
300025,华星创业,A股,沪深A股,股票
000950,重药控股,A股,沪深A股,股票
300052,中青宝,A股,沪深A股,股票
002902,铭普光磁,A股,沪深A股,股票
603363,傲农生物,A股,沪深A股,股票
600104,上汽集团,A股,沪深A股,股票
600780,通宝能源,A股,沪深A股,股票
688161,威高骨科,A股,沪深A股,股票
300433,蓝思科技,A股,沪深A股,股票
002424,贵州百灵,A股,沪深A股,股票
300724,捷佳伟创,A股,沪深A股,股票
300044,赛为智能,A股,沪深A股,股票
001208,华菱线缆,A股,沪深A股,股票
300400,劲拓股份,A股,沪深A股,股票
002307,北新路桥,A股,沪深A股,股票
600986,浙文互联,A股,沪深A股,股票
603045,福达合金,A股,沪深A股,股票
600353,旭光电子,A股,沪深A股,股票
300584,海辰药业,A股,沪深A股,股票
603871,嘉友国际,A股,沪深A股,股票
300805,电声股份,A股,沪深A股,股票
688202,美迪西,A股,沪深A股,股票
600518,ST康美,A股,沪深A股,股票
600854,春兰股份,A股,沪深A股,股票
300880,迦南智能,A股,沪深A股,股票
300284,苏交科,A股,沪深A股,股票
688768,容知日新,A股,沪深A股,股票
002422,科伦药业,A股,沪深A股,股票
002162,悦心健康,A股,沪深A股,股票
301126,达嘉维康,A股,沪深A股,股票
002429,兆驰股份,A股,沪深A股,股票
300939,秋田微,A股,沪深A股,股票
300683,海特生物,A股,沪深A股,股票
002776,ST柏龙,A股,沪深A股,股票
603067,振华股份,A股,沪深A股,股票
600290,ST华仪,A股,沪深A股,股票
300919,中伟股份,A股,沪深A股,股票
002112,三变科技,A股,沪深A股,股票
688131,皓元医药,A股,沪深A股,股票
300287,飞利信,A股,沪深A股,股票
300212,易华录,A股,沪深A股,股票
300020,银江技术,A股,沪深A股,股票
603339,四方科技,A股,沪深A股,股票
603477,巨星农牧,A股,沪深A股,股票
688311,盟升电子,A股,沪深A股,股票
688315,诺禾致源,A股,沪深A股,股票
600139,*ST西源,A股,沪深A股,股票
601918,新集能源,A股,沪深A股,股票
688165,埃夫特-U,A股,沪深A股,股票
600769,祥龙电业,A股,沪深A股,股票
000995,*ST皇台,A股,沪深A股,股票
600381,青海春天,A股,沪深A股,股票
603603,*ST博天,A股,沪深A股,股票
002076,*ST雪莱,A股,沪深A股,股票
300130,新国都,A股,沪深A股,股票
002079,苏州固锝,A股,沪深A股,股票
300199,翰宇药业,A股,沪深A股,股票
