股票代码,股票名称,市场,分类,类型
001268,N联合,A股,沪深A股,股票
601089,N福元,A股,沪深A股,股票
300988,津荣天宇,A股,沪深A股,股票
688209,英集芯,A股,沪深A股,股票
688170,德龙激光,A股,沪深A股,股票
300660,江苏雷利,A股,沪深A股,股票
301021,英诺激光,A股,沪深A股,股票
300859,西域旅游,A股,沪深A股,股票
301237,和顺科技,A股,沪深A股,股票
300835,龙磁科技,A股,沪深A股,股票
300791,仙乐健康,A股,沪深A股,股票
688348,昱能科技,A股,沪深A股,股票
300113,顺网科技,A股,沪深A股,股票
300027,华谊兄弟,A股,沪深A股,股票
300772,运达股份,A股,沪深A股,股票
688390,固德威,A股,沪深A股,股票
301177,迪阿股份,A股,沪深A股,股票
688238,和元生物,A股,沪深A股,股票
688048,长光华芯,A股,沪深A股,股票
301035,润丰股份,A股,沪深A股,股票
688234,天岳先进,A股,沪深A股,股票
688326,经纬恒润-W,A股,沪深A股,股票
300390,天华超净,A股,沪深A股,股票
600187,国中水务,A股,沪深A股,股票
300650,太龙股份,A股,沪深A股,股票
002165,红宝丽,A股,沪深A股,股票
002161,远望谷,A股,沪深A股,股票
000419,通程控股,A股,沪深A股,股票
002502,鼎龙文化,A股,沪深A股,股票
600385,退市金泰,A股,沪深A股,股票
000632,三木集团,A股,沪深A股,股票
000899,赣能股份,A股,沪深A股,股票
002231,奥维通信,A股,沪深A股,股票
002689,远大智能,A股,沪深A股,股票
002905,金逸影视,A股,沪深A股,股票
603388,元成股份,A股,沪深A股,股票
600576,祥源文化,A股,沪深A股,股票
002528,英飞拓,A股,沪深A股,股票
600715,文投控股,A股,沪深A股,股票
002361,神剑股份,A股,沪深A股,股票
000428,华天酒店,A股,沪深A股,股票
002495,佳隆股份,A股,沪深A股,股票
601007,金陵饭店,A股,沪深A股,股票
002169,智光电气,A股,沪深A股,股票
605179,一鸣食品,A股,沪深A股,股票
000620,新华联,A股,沪深A股,股票
600348,华阳股份,A股,沪深A股,股票
002355,兴民智通,A股,沪深A股,股票
605255,天普股份,A股,沪深A股,股票
002917,金奥博,A股,沪深A股,股票
000430,张家界,A股,沪深A股,股票
600593,大连圣亚,A股,沪深A股,股票
002956,西麦食品,A股,沪深A股,股票
002360,同德化工,A股,沪深A股,股票
601567,三星医疗,A股,沪深A股,股票
601116,三江购物,A股,沪深A股,股票
605108,同庆楼,A股,沪深A股,股票
002922,伊戈尔,A股,沪深A股,股票
002769,普路通,A股,沪深A股,股票
002059,云南旅游,A股,沪深A股,股票
600834,申通地铁,A股,沪深A股,股票
002866,传艺科技,A股,沪深A股,股票
600315,上海家化,A股,沪深A股,股票
605056,咸亨国际,A股,沪深A股,股票
002953,日丰股份,A股,沪深A股,股票
002993,奥海科技,A股,沪深A股,股票
605089,味知香,A股,沪深A股,股票
603893,瑞芯微,A股,沪深A股,股票
605016,百龙创园,A股,沪深A股,股票
603566,普莱柯,A股,沪深A股,股票
600621,华鑫股份,A股,沪深A股,股票
002057,中钢天源,A股,沪深A股,股票
001318,阳光乳业,A股,沪深A股,股票
000863,三湘印象,A股,沪深A股,股票
600563,法拉电子,A股,沪深A股,股票
603185,上机数控,A股,沪深A股,股票
603198,迎驾贡酒,A股,沪深A股,股票
603219,富佳股份,A股,沪深A股,股票
002129,TCL中环,A股,沪深A股,股票
600620,天宸股份,A股,沪深A股,股票
002731,萃华珠宝,A股,沪深A股,股票
605028,世茂能源,A股,沪深A股,股票
603617,君禾股份,A股,沪深A股,股票
000978,桂林旅游,A股,沪深A股,股票
600032,浙江新能,A股,沪深A股,股票
003002,壶化股份,A股,沪深A股,股票
002886,沃特股份,A股,沪深A股,股票
002033,丽江股份,A股,沪深A股,股票
603109,神驰机电,A股,沪深A股,股票
002306,中科云网,A股,沪深A股,股票
002272,川润股份,A股,沪深A股,股票
002376,新北洋,A股,沪深A股,股票
688616,西力科技,A股,沪深A股,股票
600929,雪天盐业,A股,沪深A股,股票
000888,峨眉山Ａ,A股,沪深A股,股票
002588,史丹利,A股,沪深A股,股票
002330,得利斯,A股,沪深A股,股票
301089,拓新药业,A股,沪深A股,股票
000892,欢瑞世纪,A股,沪深A股,股票
000584,哈工智能,A股,沪深A股,股票
603817,海峡环保,A股,沪深A股,股票
600778,友好集团,A股,沪深A股,股票
000622,恒立实业,A股,沪深A股,股票
002512,达华智能,A股,沪深A股,股票
301135,瑞德智能,A股,沪深A股,股票
688320,禾川科技,A股,沪深A股,股票
300829,金丹科技,A股,沪深A股,股票
300811,铂科新材,A股,沪深A股,股票
002289,宇顺电子,A股,沪深A股,股票
603229,奥翔药业,A股,沪深A股,股票
301206,三元生物,A股,沪深A股,股票
600779,水井坊,A股,沪深A股,股票
300693,盛弘股份,A股,沪深A股,股票
300403,汉宇集团,A股,沪深A股,股票
002518,科士达,A股,沪深A股,股票
688662,富信科技,A股,沪深A股,股票
688088,虹软科技,A股,沪深A股,股票
688668,鼎通科技,A股,沪深A股,股票
600506,香梨股份,A股,沪深A股,股票
